price,m2_price,square,rooms,district,micro_district,building_type,condition,floor/floors
115000,1162,99,3,3,3,2,7,1.0
62500,1096,57,3,2,2,3,7,1.0
74500,1221,61,2,3,4,2,3,0.42857142857142855
315000,900,350,6 и более,3,4,1,5,0.8888888888888888
29000,1036,28,1,3,3,1,5,1.0
55000,1250,44,1,1,2,2,7,0.7692307692307693
62000,1069,58,3,0,1,3,5,0.25
84500,1056,80,2,1,2,1,5,0.2
103000,1288,80,4,1,2,2,7,0.8
85000,1232,69,3,3,1,3,7,0.1111111111111111
89000,1099,81,2,2,0,2,7,0.7
50500,1050,48,1,1,0,2,3,0.5
60000,1034,58,2,1,0,2,7,0.5
114000,991,115,3,2,4,2,7,0.9
37000,1000,37,2,2,3,1,4,1.0
143000,1014,141,4,1,0,3,3,0.6428571428571429
75000,1000,75,2,2,2,2,5,0.6666666666666666
53000,1233,43,2,1,3,1,7,0.6
48500,882,55,2,2,2,1,3,0.75
89500,809,111,3,1,0,1,3,0.42857142857142855
45000,1000,45,1,1,0,2,3,0.5
95000,1195,80,2,2,3,2,5,0.7
128000,1306,98,4,2,4,1,4,0.5555555555555556
79500,803,99,3,2,2,2,7,0.21428571428571427
57000,1295,44,2,1,2,3,7,0.25
124500,899,138,3,2,3,1,7,1.0
149000,1802,83,2,3,4,1,7,0.5384615384615384
45000,1264,36,1,1,4,3,7,0.1111111111111111
88500,843,105,2,1,2,2,7,0.75
49500,1500,33,1,1,2,1,7,0.2222222222222222
38000,1152,33,1,2,0,3,7,0.2222222222222222
105000,1680,62,2,3,4,2,7,0.7692307692307693
51000,1000,51,1,0,3,3,7,0.3333333333333333
36500,1061,34,1,3,0,1,7,0.2
76000,1070,71,2,2,2,1,7,1.0
54000,1256,43,2,1,2,1,7,1.0
40400,1351,30,1,3,1,1,7,1.0
61000,772,79,2,1,0,2,7,0.4444444444444444
27200,697,39,1,0,0,1,3,1.0
81500,807,101,3,1,0,3,7,0.7777777777777778
91500,1188,77,2,0,2,1,7,0.25
44800,1018,44,2,3,1,1,5,1.0
72000,1161,62,3,1,2,3,7,0.2
86500,1246,69,3,0,1,3,7,0.1111111111111111
106000,1738,61,2,1,0,1,7,0.6666666666666666
48000,1091,44,1,2,0,1,7,0.4444444444444444
52500,1193,44,2,1,2,1,7,0.25
58500,1245,47,1,1,2,1,7,1.0
48000,1000,48,1,1,1,2,7,0.16666666666666666
46500,1157,40,2,3,1,1,7,1.0
66000,1522,43,2,3,0,2,7,0.8
68000,1360,50,1,2,4,2,5,0.8666666666666667
57500,1065,54,2,1,2,3,7,1.0
135000,1439,94,4,2,4,1,7,0.5555555555555556
66500,1108,60,2,2,4,1,7,1.0
48000,863,56,2,1,0,3,7,0.4444444444444444
63000,1016,62,2,1,0,2,7,0.5
54000,717,75,4,0,1,1,7,1.0
65000,1585,41,1,1,0,2,7,0.75
59000,1157,51,1,2,0,1,7,0.5454545454545454
57000,1086,52,2,2,0,1,7,1.0
58000,1450,40,1,3,1,1,7,0.2222222222222222
47500,1131,42,1,0,1,2,7,0.1
51000,1000,51,1,0,3,3,7,0.2222222222222222
73000,1043,70,2,1,0,1,7,0.7
65000,1043,62,2,2,2,2,7,0.9230769230769231
134000,1008,133,4,2,4,1,7,1.0
117000,1170,100,3,3,4,1,7,0.5
110000,1102,100,3,0,1,2,7,0.7777777777777778
66500,1018,65,2,0,0,1,7,0.3333333333333333
165000,1269,130,3,2,4,2,7,1.0
147000,1176,125,3,1,0,1,7,0.4166666666666667
56000,1302,43,2,1,2,1,7,1.0
49500,1151,43,2,3,1,1,7,1.0
54000,942,57,2,2,2,2,7,0.14285714285714285
65000,1161,56,2,1,0,3,7,0.1111111111111111
49500,1062,47,2,0,1,1,7,0.5
38500,1328,29,1,3,2,1,7,0.3333333333333333
60000,1200,50,2,3,0,1,7,0.8
78000,1147,68,2,1,2,1,7,1.0
26000,667,39,1,2,1,1,7,0.4
32000,667,48,1,0,1,2,7,0.7
240000,1426,168,4,3,1,1,7,0.5555555555555556
80000,1379,58,2,3,3,1,7,0.16666666666666666
225000,1372,164,6 и более,2,3,1,7,1.0
101000,1202,84,2,2,2,1,7,0.2222222222222222
67500,1274,53,2,2,0,2,7,0.2222222222222222
250000,2000,125,4,2,3,1,7,0.15384615384615385
61000,1052,58,3,2,3,3,7,1.0
115000,935,123,4,0,1,2,7,0.8
63500,992,64,3,1,2,3,7,0.6666666666666666
48000,1200,40,1,2,2,1,7,0.6666666666666666
81000,1350,60,3,0,1,3,7,0.1111111111111111
99000,1291,77,3,1,2,1,7,0.5454545454545454
68000,1417,48,2,1,4,3,7,1.0
169000,1657,102,3,3,0,1,7,1.0
84500,1154,73,2,0,2,1,7,0.9166666666666666
109000,1059,103,3,1,3,1,7,0.1
81000,871,93,3,1,0,2,7,0.9166666666666666
58000,1208,48,1,2,0,2,7,0.8333333333333334
50000,1250,40,1,1,2,2,7,0.8
57000,1149,50,2,1,2,3,7,0.75
56000,1143,49,1,1,0,1,7,0.75
56500,1284,44,1,2,3,2,7,0.8333333333333334
77000,1013,76,2,1,2,3,7,1.0
60000,1034,58,3,2,2,3,4,0.5
52500,1221,43,1,3,3,1,7,0.7
35000,627,56,2,0,1,1,7,1.0
97000,1366,71,3,3,3,1,7,1.0
145000,1295,112,4,2,1,2,7,0.25
68000,1133,60,3,2,2,1,7,0.2222222222222222
77500,1384,56,2,1,2,1,7,0.2
53760,750,72,3,1,0,2,3,0.5
135000,1063,127,3,0,1,3,5,0.2
124000,1771,70,2,1,0,2,7,0.5
85000,1052,81,2,1,0,2,3,0.14285714285714285
93800,980,96,2,1,0,2,3,0.75
109889,1070,103,3,1,0,2,3,0.75
100000,1342,74,2,3,4,2,7,0.4166666666666667
54000,931,58,2,1,1,2,7,1.0
88000,1054,83,2,1,0,1,7,1.0
96500,1060,91,3,2,1,2,7,1.0
33000,902,37,1,1,0,1,7,0.25
54000,1102,49,2,1,1,2,7,0.125
75000,1210,62,3,2,4,3,5,0.4
90000,1125,80,2,2,4,1,7,0.7
132000,1086,122,3,3,4,2,7,0.47058823529411764
130000,1182,110,2,2,4,1,7,0.7
52500,1500,35,1,1,2,3,7,0.5555555555555556
30500,681,45,1,3,3,2,7,0.875
53500,1163,46,1,2,0,3,7,0.1111111111111111
97500,1108,88,3,3,4,2,7,1.0
128000,1280,100,4,2,4,1,5,0.5555555555555556
97000,990,98,4,1,2,3,5,0.75
59000,937,63,2,2,2,3,5,0.5555555555555556
80000,650,123,3,2,0,2,7,0.9090909090909091
68900,830,83,2,2,0,1,7,0.8
75000,1210,62,2,3,0,1,7,0.3333333333333333
57000,1140,50,2,2,2,1,7,0.7
39999,800,50,2,3,0,1,7,0.6666666666666666
51000,1062,48,2,2,1,1,7,0.2
41500,1064,39,1,2,2,1,7,0.6
128000,800,160,4,1,0,2,5,0.25
32000,744,43,2,2,1,2,3,0.15
36800,876,42,1,2,0,3,3,0.5555555555555556
75500,1007,75,2,1,0,2,7,0.3333333333333333
91500,915,100,3,2,4,3,7,1.0
63000,1050,60,2,1,2,3,5,0.7777777777777778
82500,1019,81,4,2,2,3,5,0.3333333333333333
68000,1079,63,3,1,4,3,7,0.2
49000,1361,36,1,1,4,3,7,0.6666666666666666
58500,1064,55,3,3,4,1,5,1.0
59500,1352,44,1,1,0,2,7,0.6666666666666666
61000,1089,56,2,0,2,3,7,0.6
49500,952,52,2,0,0,3,5,0.8
66000,1179,56,3,0,2,3,5,0.2
113000,1256,90,3,1,2,2,5,0.5555555555555556
43500,1012,43,2,3,1,1,5,1.0
95000,779,122,3,1,0,2,3,0.5
109000,1282,85,2,3,1,1,5,0.7
63000,1370,46,1,1,0,2,5,0.6666666666666666
114000,991,115,4,2,4,2,7,0.9
139500,996,140,3,1,2,1,5,0.5
69000,1113,62,2,2,0,1,5,0.4
67500,1164,58,3,2,4,3,5,0.8
67000,1117,60,2,3,0,3,5,0.2222222222222222
55000,1250,44,1,1,2,2,5,0.7692307692307693
66000,1158,57,2,3,1,3,4,0.3333333333333333
57000,1056,54,2,1,2,3,4,0.4444444444444444
58500,873,67,2,0,1,3,7,1.0
58500,1064,55,3,3,1,1,7,1.0
46500,1134,41,2,1,0,1,5,0.6
160000,1818,88,2,3,4,2,7,0.5384615384615384
69000,986,70,3,3,3,3,7,1.0
74000,1213,61,2,3,4,2,3,0.42857142857142855
83000,1137,73,3,3,1,2,7,0.6666666666666666
36000,1200,30,1,3,2,1,5,0.3333333333333333
79000,1039,76,3,0,0,1,5,0.5
48000,941,51,2,3,1,2,3,0.4666666666666667
70500,1137,62,2,3,3,2,5,0.4166666666666667
300000,2308,130,3,3,4,2,7,0.8888888888888888
36550,850,43,1,1,0,1,3,0.3125
72000,1064,68,3,1,2,3,7,0.4
51500,1051,49,1,0,4,2,4,0.4444444444444444
63500,882,72,2,1,0,2,3,0.9166666666666666
75500,878,86,2,1,0,2,7,0.5
57500,958,60,2,1,0,2,3,0.08333333333333333
42000,875,48,1,2,4,1,3,1.0
89500,799,112,4,2,4,2,3,0.6923076923076923
67000,761,88,3,2,2,2,0,0.6428571428571429
112200,1100,102,3,1,0,2,3,0.8571428571428571
125000,1786,70,2,1,0,2,7,0.5
55000,714,77,2,2,2,2,3,1.0
81500,1032,79,2,1,0,2,7,0.08333333333333333
53999,1174,46,1,3,3,2,7,1.0
66500,756,88,3,2,2,2,7,0.6428571428571429
37500,1172,32,1,1,3,3,4,0.8
62000,1069,58,3,3,0,3,7,0.8
87500,781,112,4,2,4,2,3,0.46153846153846156
135000,1227,110,4,1,2,2,7,0.6666666666666666
82000,1173,70,3,1,3,1,5,0.8571428571428571
58500,1064,55,3,3,4,1,7,1.0
185000,1000,185,4,3,0,2,7,0.9090909090909091
47000,618,76,2,1,0,2,3,0.9
83000,1122,74,3,3,1,1,7,0.6666666666666666
130000,1548,84,3,1,2,2,7,0.9
63000,1033,61,3,0,1,3,7,0.4
67500,1164,58,3,2,4,3,7,0.8
270000,1286,210,4,3,4,1,7,0.5
85000,850,100,3,1,0,2,7,0.4444444444444444
88000,1060,83,3,3,3,2,3,0.3125
52000,1238,42,1,1,0,2,7,0.5833333333333334
62000,969,64,2,1,1,2,7,0.6666666666666666
62000,886,70,2,1,0,1,3,0.6666666666666666
105000,1000,105,4,1,3,1,7,0.3333333333333333
100000,1020,98,3,1,0,2,7,0.6666666666666666
115000,1855,62,3,1,0,1,7,0.6666666666666666
95000,1044,91,3,2,2,2,7,1.0
49500,1125,44,2,1,2,3,5,0.25
57500,833,69,3,1,0,2,3,1.0
42000,955,44,1,3,3,2,3,0.6666666666666666
52000,1083,48,2,0,1,1,4,0.4
68900,1188,58,3,1,2,1,5,0.25
70000,1207,58,3,1,2,1,7,0.5
127000,1512,84,3,1,2,1,7,0.9
77000,1100,70,1,2,2,1,7,0.8333333333333334
64800,953,68,3,2,2,1,5,1.0
70500,1216,58,2,1,1,1,7,0.75
36000,857,42,1,2,2,2,7,1.0
64800,820,79,2,2,1,1,7,0.8
56600,1258,45,1,3,2,1,7,0.6666666666666666
56800,1072,53,2,2,2,1,7,1.0
46800,975,48,2,0,1,1,5,1.0
60600,1063,57,2,1,4,2,7,0.8
47300,1100,43,1,1,0,2,7,0.5555555555555556
48600,1080,45,1,1,2,3,7,0.2
112800,1200,94,2,3,1,2,3,0.6923076923076923
64240,880,73,2,1,0,2,3,0.7777777777777778
46500,1107,42,2,3,1,1,5,0.5
47000,855,55,2,0,1,2,3,0.25
49000,1361,36,1,1,4,3,4,0.6666666666666666
173000,1036,167,4,0,4,2,4,0.3333333333333333
59500,875,68,2,3,3,1,3,0.6666666666666666
68500,1105,62,3,0,3,3,5,0.2
57000,983,58,3,1,2,3,5,0.25
68200,1240,55,2,1,1,1,7,0.2222222222222222
77015,730,106,3,1,0,2,3,0.8333333333333334
41000,1281,32,1,1,2,3,4,1.0
170000,1030,165,3,0,0,1,7,0.7
256000,1600,160,4,1,0,2,3,0.75
57500,1085,53,1,1,0,3,3,0.9285714285714286
129000,811,159,4,1,0,1,3,0.3333333333333333
265000,2137,124,3,1,0,1,7,0.4166666666666667
56000,1120,50,2,2,2,1,7,0.7
92000,939,98,5,0,3,1,5,0.8888888888888888
56000,966,58,3,2,3,1,4,0.75
65000,833,78,3,1,0,2,7,0.7777777777777778
85000,1049,81,3,1,0,2,7,1.0
155000,1490,104,3,1,0,2,7,1.0
146000,1217,120,3,0,2,2,7,0.9230769230769231
69500,979,71,2,2,2,1,7,0.1111111111111111
32000,615,52,3,3,0,1,4,1.0
56000,1120,50,2,1,0,2,7,0.7777777777777778
101970,990,103,3,1,0,2,3,0.14285714285714285
103000,1000,103,3,1,0,2,3,0.14285714285714285
95000,841,113,3,1,0,2,3,0.3333333333333333
185000,1156,160,4,1,2,1,7,1.0
40000,800,50,1,2,1,2,3,0.7777777777777778
70500,1102,64,2,2,2,3,7,0.7
360000,893,403,6 и более,1,2,2,3,1.0
148000,1233,120,3,0,2,2,7,0.9230769230769231
179000,1584,113,2,3,4,1,7,0.3
68000,850,80,2,1,0,2,3,0.9285714285714286
